rank,name,year,rating,age_rating,run_time
145,Yojimbo,1961,8.2,G,110
146,The Treasure of the Sierra Madre,1948,8.2,G,126
147,Monty Python and the Holy Grail,1975,8.2,PG,91
148,The Great Escape,1963,8.2,G,172
149,No Country for Old Men,2007,8.2,R,122
150,Spider-Man: No Way Home,2021,8.2,PG-13,148
151,Kill Bill: Vol. 1,2003,8.2,R,111
152,Rashomon,1950,8.2,G,88
153,The Thing,1982,8.2,R,109
154,Finding Nemo,2003,8.2,G,100
155,The Elephant Man,1980,8.2,PG,124
156,Chinatown,1974,8.2,R,130
157,Raging Bull,1980,8.2,R,129
158,V for Vendetta,2005,8.2,R,132
159,Gone with the Wind,1939,8.2,G,238
160,"Lock, Stock and Two Smoking Barrels",1998,8.2,R,107
161,Inside Out,2015,8.2,PG,95
162,Dial M for Murder,1954,8.2,PG,105
163,The Secret in Their Eyes,2009,8.2,R,129
164,Howl's Moving Castle,2004,8.2,PG,119
165,"Three Billboards Outside Ebbing, Missouri",2017,8.1,R,115
166,The Bridge on the River Kwai,1957,8.2,PG,161
167,Trainspotting,1996,8.1,R,93
168,Prisoners,2013,8.1,R,153
169,Warrior,2011,8.2,PG-13,140
170,Fargo,1996,8.1,R,98
171,Gran Torino,2008,8.1,R,116
172,My Neighbor Totoro,1988,8.1,G,86
173,Catch Me If You Can,2002,8.1,PG-13,141
174,Million Dollar Baby,2004,8.1,PG-13,132
175,Children of Heaven,1997,8.2,PG,89
176,Blade Runner,1982,8.1,R,117
177,The Gold Rush,1925,8.1,G,95
178,Before Sunrise,1995,8.1,R,101
179,12 Years a Slave,2013,8.1,R,134
180,Klaus,2019,8.2,PG,96
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,PG-13,130
182,On the Waterfront,1954,8.1,G,108
183,Ben-Hur,1959,8.1,G,212
184,Gone Girl,2014,8.1,R,149
185,The Grand Budapest Hotel,2014,8.1,R,99
186,Wild Strawberries,1957,8.1,G,91
187,The General,1926,8.1,G,67
188,The Third Man,1949,8.1,G,93
189,In the Name of the Father,1993,8.1,R,133
190,The Deer Hunter,1978,8.1,R,183
191,Barry Lyndon,1975,8.1,PG,185
192,Hacksaw Ridge,2016,8.1,R,139
193,The Wages of Fear,1953,8.2,G,131
194,Memories of Murder,2003,8.1,G,132
195,Sherlock Jr.,1924,8.2,G,45
196,Wild Tales,2014,8.1,R,122
197,Mr. Smith Goes to Washington,1939,8.1,G,129
198,Mad Max: Fury Road,2015,8.1,R,120
199,The Seventh Seal,1957,8.1,G,96
200,Mary and Max,2009,8.1,G,92
201,How to Train Your Dragon,2010,8.1,PG,98
202,Room,2015,8.1,R,118
203,"Monsters, Inc.",2001,8.1,G,92
204,Jaws,1975,8.1,PG,124
205,Dead Poets Society,1989,8.1,PG,128
206,The Big Lebowski,1998,8.1,R,117
207,Tokyo Story,1953,8.2,G,136
208,The Passion of Joan of Arc,1928,8.2,G,114
209,Hotel Rwanda,2004,8.1,PG-13,121
210,Ford v Ferrari,2019,8.1,PG-13,152
211,Rocky,1976,8.1,PG,120
212,Platoon,1986,8.1,R,120
213,Ratatouille,2007,8.1,G,111
214,Spotlight,2015,8.1,R,129
215,The Terminator,1984,8.1,R,107
216,Logan,2017,8.1,R,137
217,Stand by Me,1986,8.1,PG-13,89
218,Rush,2013,8.1,R,123
219,Network,1976,8.1,R,121
220,Into the Wild,2007,8.1,R,148
221,Before Sunset,2004,8.1,R,80
222,The Wizard of Oz,1939,8.1,G,102
223,Pather Panchali,1955,8.3,G,125
224,Groundhog Day,1993,8.1,PG,101
225,The Best Years of Our Lives,1946,8.1,G,170
226,The Exorcist,1973,8.1,R,122
227,The Incredibles,2004,8,PG,115
228,To Be or Not to Be,1942,8.2,G,99
229,La haine,1995,8.1,G,98
230,The Battle of Algiers,1966,8.1,G,121
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,PG-13,143
232,Hachi: A Dog's Tale,2009,8.1,G,93
233,The Grapes of Wrath,1940,8.1,G,129
234,Jai Bhim,2021,8.8,R,164
235,My Father and My Son,2005,8.2,G,112
236,Amores Perros,2000,8.1,R,154
237,Rebecca,1940,8.1,G,130
